"disc_number";"duration_ms";"name";"track_number";"album";"artist";"author";"lyrics_url";"lyrics"
"1";"306626";"El Anillo del Capitán Beto";"1";"El Jardin de los Presentes";"Invisible";"";"https://genius.com/Invisible-el-anillo-del-capitan-beto-lyrics";"  Ahí va el Capitán Beto por el espacio Con su nave de fibra hecha en Haedo Ayer colectivero Hoy amo entre los amos del aire  Ya lleva quince años en su periplo Su equipo es tan precario como su destino Sin embargo un anillo extraño Ahuyenta los peligros en el cosmos  Ahí va el Capitán Beto por el espacio La foto de Carlitos sobre el comando Y un banderín de River Plate Y la triste estampita de un santo  ¿Dónde está el lugar Al que todos llaman cielo? Si nadie viene hasta aquí A cebarme unos amargos Como en mi viejo umbral  ¿Por qué habré venido hasta aquí? Si no puedo más de soledad Ya no puedo más de soledad  Su anillo lo inmuniza de los peligros Pero no lo protege de la tristeza Surcando la galaxia del hombre Ahí va el Capitán Beto, el errante  ¿Dónde habrá una ciudad En la que alguien silbe un tango? ¿Dónde están, dónde están Los camiones de basura Mi vieja y el Café? Si esto sigue así como así Ni una triste sombra quedará Ni una triste sombra quedará  Ahí va el Capitán por el espacio Regando los malvones de su cabina Sin brújula y sin radio Jamás podrá volver a la tierra  Tardaron muchos años hasta encontrarlo El anillo de Beto llevaba inscripto Un signo del alma  "
"1";"308733";"Los Libros de la Buena Memoria";"2";"El Jardin de los Presentes";"Invisible";"";"https://genius.com/Invisible-los-libros-de-la-buena-memoria-lyrics";"  [Letra de ""Los libros de la buena memoria""]  El vino entibia sueños, al jadear Desde su boca de verdeado dulzor Y, entre los libros de la buena memoria Se queda oyendo como un ciego frente al mar Mi voz le llegará Mi boca también Tal vez le confiaré Que eras el vestigio del futuro  Rojas y verdes luces del amor Prestidigitan bajo un halo de rush ¿Qué sombra extraña te oculto de mi guiño Que nunca oíste la hojarasca crepitar?  Pues, yo te escribiré Yo te hare llorar <a annotation-fragment=""14523779"" class=""referent"" classification=""unreviewed"" data-id=""14523779"" href=""/Invisible-los-libros-de-la-buena-memoria-lyrics#note-14523779"" image=""false"" ng-class=""{           'referent--linked_to_preview': song_ctrl.referent_has_preview(fragment_id),           'referent--linked_to_preview_active': song_ctrl.highlight_preview_referent(fragment_element_id),           'referent--purple_indicator': song_ctrl.show_preview_referent_indicator(fragment_element_id)         }"" ng-click=""open()"" on-hover-with-no-digest=""set_current_hover_and_digest(hover ? fragment_id : undefined)"" pending-editorial-actions-count=""0"" prevent-default-click="""">Mi boca besará Toda la ternura de tu acuario  Mas si la luna enrojeciera en sed O las impalas recorrieran tu estante ¿No volverías a triunfar, en tu alma? Yo se que harías largos viajes por llegar  Parado, estoy aquí Esperándote Todo se oscureció Ya no sé si el mar descansará...  <a annotation-fragment=""14523786"" class=""referent"" classification=""unreviewed"" data-id=""14523786"" href=""/Invisible-los-libros-de-la-buena-memoria-lyrics#note-14523786"" image=""false"" ng-class=""{           'referent--linked_to_preview': song_ctrl.referent_has_preview(fragment_id),           'referent--linked_to_preview_active': song_ctrl.highlight_preview_referent(fragment_element_id),           'referent--purple_indicator': song_ctrl.show_preview_referent_indicator(fragment_element_id)         }"" ng-click=""open()"" on-hover-with-no-digest=""set_current_hover_and_digest(hover ? fragment_id : undefined)"" pending-editorial-actions-count=""0"" prevent-default-click="""">¿Habrá crecido un tallo en el nogal? ¿La luz habrá tiznado gente sin fe? Esta botella se ha vaciado tan bien Que ni los sueños se cobijan del rumor  <a annotation-fragment=""14523795"" class=""referent"" classification=""unreviewed"" data-id=""14523795"" href=""/Invisible-los-libros-de-la-buena-memoria-lyrics#note-14523795"" image=""false"" ng-class=""{           'referent--linked_to_preview': song_ctrl.referent_has_preview(fragment_id),           'referent--linked_to_preview_active': song_ctrl.highlight_preview_referent(fragment_element_id),           'referent--purple_indicator': song_ctrl.show_preview_referent_indicator(fragment_element_id)         }"" ng-click=""open()"" on-hover-with-no-digest=""set_current_hover_and_digest(hover ? fragment_id : undefined)"" pending-editorial-actions-count=""0"" prevent-default-click="""">Licor, no vuelvas, ya Deja de reír No es necesario, más Ya se ven los tigres en la lluvia  "
"1";"391240";"Alarma Entre Los Angeles";"3";"El Jardin de los Presentes";"Invisible";"";"https://genius.com/Invisible-alarma-entre-los-angeles-lyrics";"  [Instrumental]  "
"1";"124293";"Que Ves El Cielo";"4";"El Jardin de los Presentes";"Invisible";"";"https://genius.com/Invisible-que-ves-el-cielo-lyrics";"  Hoy tu pollera gira al viento Quiero verte bailar Entre la gente, entre la gente Quiero verte bailar... No importa tu nombre si me puedes contestar Son tantos tus sueños que ves el cielo Mientras te veo bailar...  Hoy tu sonrisa es limpia y gira Quiero verte bailar Entre la gente, entre la gente Quiero verte bailar... No importa tu nombre si me puedes contestar Son tantos tus sueños que ves el cielo Mientras te veo bailar  "
"1";"275093";"Ruido De Magia";"5";"El Jardin de los Presentes";"Invisible";"";"https://genius.com/Invisible-ruido-de-magia-lyrics";"  Te vi como mecida En algo... Cubierta de racimos Más que blancos... Tu fuiste la querida En la tormenta...  No llega ya mi voz A tu alma... Las ostras se han servido De tu nácar... Mientras oigo tu ruido Ruido de magia...  Recuerdo haberte amado Así dormida... En aquellos que fueron Débiles sueños... Crepúsculos del fuego Sobre tu noche...  Y así palpita el Dios Que fuíste... Bailando entre las piernas Gigantes... Verás que nuestra danza Está quebrada...  "
"1";"248266";"Doscientos Años";"6";"El Jardin de los Presentes";"Invisible";"";"https://genius.com/Invisible-doscientos-anos-lyrics";"  Una palabra  Dame una palabra...  Una palabra  Solo una palabra...  Dame suave brisa  Brisa de la playa...  Dame una palabra ( ah )  200 años  ¿de qué sirvió  Haber cruzado a nado la mar...?  Una palabra  Solo una palabra...  Dame la brisa  Dame toda brisa...  Suave junco  Junco de la orilla...  Dame una palabra...  ( ah )  200 años  ¿de qué sirvió  Haber cruzado a nado la mar...?  "
"1";"424760";"Perdonado (Niño Condenado)";"7";"El Jardin de los Presentes";"Invisible";"";"https://genius.com/Invisible-perdonado-nino-condenado-lyrics";"  [Letra de ""Perdonado (Niño Condenado)""]  [Verso 1] Habla conmigo Viejo perro blanco Habla conmigo Ladra tu quebranto... Cuando quieras Olvidarlo... Tu quebranto...  Habla conmigo Perro de la lluvia... Habla conmigo Solo tú conoces La vendimia... De la calle...  [Estribillo] ¡La delicia! ¡La delicia!  [Verso 2] Habla conmigo Viejo perro blanco Busca descanso Con tu molinete Que los amos No descansan... Ya no existen...  Habla conmigo Perro de la lluvia Habla conmigo Niño condenado Por el diablo de febrero...  [Estribillo] ¡Perdonado! ¡Perdonado! ¡Perdonado!  "
"1";"202693";"Las Golondrinas de Plaza de Mayo";"8";"El Jardin de los Presentes";"Invisible";"";"https://genius.com/Invisible-las-golondrinas-de-plaza-de-mayo-lyrics";"  Las golondrinas de Plaza de Mayo Observan la gente Desde el mismo árbol Y al llegar el verano La ciudad se cubre de flores Vienen y van...  Las golondrinas de Plaza de Mayo,. Se van en invierno Vuelven en verano y si las observas Comprenderás que solo vuelan en libertad...  "
"1";"933000";"Encadenado al Ánima";"1";"Durazno Sangrando";"Invisible";"";"https://genius.com/Invisible-encadenado-al-anima-lyrics";"  Sí, el viejo portal del cielo Sí, el viejo portal del cielo Puede enfriar los cuerpos de hoy y ayer Se niega el recuerdo por sano y se quema En las puertas de una ciudad Que aulla sin ser vista  Los planetas giran sin saberlo Así como tu recuerdo vive en ellos Sin que puedas correr allí Sin que puedas correr allí  Las ventiscas en sombras ahuyentan el humo De unos muñecos que se queman En el alba roja y ardiente de la locura  Las caras que asoman la ventana Quieren cristalizarse en mi pensamiento En forma alucinatoria En forma alucinatoria Como si los muebles pudieran hablarme de ellas Sin moverse Produciendo ruidos incomprensibles a mi espalda  La noche despide Su manera arrogante De mecerse donde quiera Y las ropas de los sirvientes Caminan por la casa  La noche llega y tal vez Mañana no exista el tiempo con sombras La luz se duerme entre las piedras Sacude sus plumas la avaricia Salpicando el pasto inmolado  Los perros vuelan en las piernas de la noche Que gime el viento frío Desde la boca de un dragón sin ojos  El agujero de días de lluvia intensa Trata de imantar alguna mujer sin cara Que ronda por la casa  La distancia es un caudal de eternidad Agazapada sobre la espalda de un león  "
"1";"219186";"Durazno Sangrando";"2";"Durazno Sangrando";"Invisible";"";"https://genius.com/Invisible-durazno-sangrando-lyrics";"  [Letra de ""Durazno Sangrando""]  [Verso 1] Temprano el durazno del árbol cayó Su piel era rosa dorada del sol Y al verse en la suerte de todo frutal A la orilla de un río su fe lo hizo llegar  [Estribillo 1] Dicen que en este valle Los duraznos son de los duendes, oh  [Verso 2] Pasó cierto tiempo en el mismo lugar Hasta que un buen día se puso a escuchar Una melodía muy triste del sur Que así le lloraba desde su interior:  [Recitado] ""Quién canta es tu carozo Pues tu cuerpo al fin tiene un alma Y si tu ser estalla Será tu corazón el que sangre Y la canción que escuchas Tu cuerpo abrirá con el alba""  [Solo de Guitarra]  [Verso 3] La brisa de enero a la orilla llegó La noche del tiempo sus horas cumplió Y al llegar el alba el carozo cantó Partiendo al durazno que al río cayó  [Estribillo 2] Y el durazno partido Ya sangrando está bajo el agua  "
